I
1050 Generated by WorldEditor 1.6.0r1

1    668 0 0 GVSN PREGUICA
1302 city Preguiça
1302 country Cape Verde
1302 datum_lat 16.588055556
1302 datum_lon -24.283888889
1302 faa_code 
1302 iata_code SNE
1302 icao_code GVSN
1302 region_code GV
1302 state Barlavento Islands
1302 transition_alt 
1302 transition_level 
100 29.87 1 0 0.25 0 0 0 01  16.58191800 -024.28368600  201    0 2 0 0 0 19  16.59454100 -024.28441100    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 102
111  16.58991579 -024.28615536
111  16.58986997 -024.28614967
111  16.58986997 -024.28616049
111  16.58981760 -024.28615536
111  16.58981924 -024.28614227
111  16.58973960 -024.28613772
111  16.58974233 -024.28612463
111  16.58970196 -024.28611951
111  16.58971833 -024.28598803
111  16.58973742 -024.28599258
111  16.58974506 -024.28592030
111  16.58989506 -024.28594307
111  16.58989015 -024.28599429
113  16.58992833 -024.28599941
110 2 0.00 0.0000 New Taxiway 101
111  16.59006907 -024.28608649
111  16.59002325 -024.28608479
111  16.59002216 -024.28610983
111  16.58999979 -024.28610869
111  16.58999434 -024.28615081
111  16.58991470 -024.28614797
111  16.58992015 -024.28601990
113  16.59007179 -024.28602787
110 2 0.00 0.0000 New Taxiway 99
111  16.59018560 -024.28614027
111  16.59017077 -024.28614027
111  16.59017045 -024.28614916
111  16.59015593 -024.28614817
111  16.59015467 -024.28613895
111  16.59006534 -024.28613401
111  16.59006975 -024.28602795
111  16.59009595 -024.28602663
111  16.59009659 -024.28601444
111  16.59011395 -024.28601247
111  16.59012279 -024.28602465
111  16.59018308 -024.28602828
111  16.59017803 -024.28610832
113  16.59018971 -024.28611062
110 2 0.00 0.0000 New Taxiway 105
111  16.58922375 -024.28609372
111  16.58918840 -024.28609030
111  16.58919298 -024.28602542
113  16.58922964 -024.28603020
110 2 0.00 0.0000 New Taxiway 104
111  16.58932717 -024.28612514
111  16.58926106 -024.28611558
111  16.58927088 -024.28603362
113  16.58933699 -024.28604386
110 3 0.00 0.0000 New Taxiway 103
111  16.59007234 -024.28603186
111  16.58992561 -024.28602047
111  16.58992888 -024.28601307
111  16.58994961 -024.28599941
111  16.59007507 -024.28600681
113  16.59009689 -024.28602730
110 1 0.00 0.0000 New Taxiway 91
111  16.59063499 -024.28432460
112  16.59049999 -024.28447827  16.59049953 -024.28460254
111  16.59042626 -024.28591459
111  16.59024288 -024.28590969
111  16.59023033 -024.28598881
111  16.59028324 -024.28599052
111  16.59028215 -024.28603434
111  16.59022924 -024.28603775
111  16.59022215 -024.28615386
111  16.59017197 -024.28614419
111  16.59017088 -024.28603401
111  16.59007587 -024.28603401
111  16.58991526 -024.28601748
111  16.58972003 -024.28599857
111  16.58973247 -024.28588173
111  16.58979016 -024.28586639
111  16.58981052 -024.28547810
111  16.59014080 -024.28549344
112  16.59025291 -024.28536535  16.59025684 -024.28526290
111  16.59030518 -024.28443119
114  16.59020678 -024.28430373  16.59009933 -024.28426242
110 2 0.00 0.0000 New Taxiway 98
111  16.59042283 -024.28592038
111  16.58973390 -024.28587226
111  16.58976784 -024.28544172
111  16.59011609 -024.28546492
112  16.59022936 -024.28532117  16.59022386 -024.28521299
111  16.59027132 -024.28443405
112  16.59021005 -024.28434947  16.59015821 -024.28433275
111  16.59018554 -024.28432193
111  16.59058425 -024.28436422
112  16.59052204 -024.28447536  16.59052204 -024.28453634
113  16.59047522 -024.28513417
110 2 0.00 0.0000 New Taxiway 97
111  16.59034117 -024.28617022
111  16.59029011 -024.28616270
111  16.59028880 -024.28614085
111  16.59027113 -024.28614085
111  16.59027179 -024.28616612
111  16.59022073 -024.28616066
111  16.59022989 -024.28602884
111  16.59026720 -024.28602952
111  16.59026655 -024.28605342
111  16.59027768 -024.28605342
111  16.59027702 -024.28603567
111  16.59030124 -024.28603977
111  16.59030059 -024.28602815
113  16.59035361 -024.28603157
110 1 0.00 0.0000 New Taxiway 89
111  16.58237617 -024.28384858
112  16.58217486 -024.28389344  16.58210449 -024.28389140
112  16.58196963 -024.28389140  16.58193836 -024.28387305
111  16.58191882 -024.28382818
111  16.58192859 -024.28357327
112  16.58202240 -024.28341624  16.58206540 -024.28340604
112  16.58224326 -024.28341828  16.58229995 -024.28343867
112  16.58236054 -024.28348761  16.58238008 -024.28352840
113  16.58242308 -024.28358754
110 1 0.00 0.0000 New Taxiway 88
111  16.58373689 -024.28366437
111  16.58374481 -024.28352983
111  16.58419385 -024.28355343
113  16.58430357 -024.28368443
110 2 0.00 0.0000 New Taxiway 90
111  16.58252200 -024.28385870
111  16.58237677 -024.28395385
111  16.58213360 -024.28398909
112  16.58195122 -024.28397147  16.58194446 -024.28396795
111  16.58189718 -024.28389042
113  16.58190393 -024.28380232
110 1 0.00 0.0000 New Taxiway 86
111  16.59452576 -024.28454844
111  16.59452169 -024.28465325
111  16.59401949 -024.28462209
